CatIndex	ProdIndex
000001	5113.029
000001	5113.026
000001	5113.010
000001	5113.018
000001	5113.014
000001	5113.013
000001	5113.012
000001	5113.011
000001	5219.041
000001	5219.040
000001	5219.042
000001	5219.030
000001	5219.031
000001	5219.034
000001	5219.035
000001	5219.039
000001	5219.038
000001	5219.032
000001	5219.033
000001	5219.036
000001	5219.021
000001	5219.020
000001	5219.024
000001	5219.025
000001	5219.022
000001	5219.028
000001	5219.027
000001	5219.023
000001	5219.029
000001	5219.026
000001	5219.015
000001	5219.019
000001	5219.018
000001	5219.013
000001	5219.014
000001	5219.005
000001	5219.002
000001	5219.008
000001	5219.003
000001	5219.009
000001	5219.006
000001	5213.140
000001	5213.146
000001	5213.145
000001	5213.142
000001	5213.148
000001	5213.144
000001	5213.143
000001	5213.147
000001	5211.149
000001	5211.148
000001	5211.140
000001	5211.141
000001	5211.147
000001	5213.030
000001	5213.033
000001	5213.032
000001	5211.041
000001	5211.137
000001	5211.139
000001	5213.021
000001	5213.029
000001	5211.030
000001	5211.116
000001	5211.115
000001	5211.112
000001	5211.114
000001	5211.113
000001	5213.130
000001	5213.131
000001	5213.139
000001	5213.137
000001	5213.132
000001	5213.110
000001	5213.116
000001	5213.112
000001	5213.118
000001	5213.114
000001	5213.113
000001	5213.117
000001	5213.010
000001	5213.015
000001	5213.012
000001	5213.018
000001	5213.013
000001	5211.021
000001	5211.024
000001	5211.025
000001	5211.022
000001	5211.023
000001	5211.026
000001	5213.005
000001	5213.007
000001	5213.009
000001	5213.006
000001	5213.102
000001	5213.108
000001	5213.103
000001	5213.107
000001	5211.102
000001	5211.106
000001	5211.109
000001	5211.107
000001	5213.120
000001	5213.122
000001	5213.126
000001	5211.120
000001	5211.124
000001	5211.125
000001	5211.128
000001	5211.127
000001	5211.122
000001	5211.126
000001	5211.012
000001	5211.015
000001	5211.010
000001	5211.017
000001	5211.019
000001	5211.016
000001	5211.100
000001	4221.002
000001	4043.021
000001	4043.025
000001	4043.024
000001	5805.021
000001	5605.025
000001	5405.009
000001	5505.001
000001	5029.000
000001	4031.006
000001	4031.005
000001	4035.004
000001	5221.002
000001	5441.015
000001	5441.014
000001	1863.212
000001	1863.211
000001	1863.214
000001	1863.215
000001	1863.210
000001	1863.218
000001	1863.217
000001	1863.213
000001	1863.219
000001	1863.216
000001	1861.112
000001	1861.111
000001	1861.114
000001	1861.115
000001	1861.110
000001	1861.118
000001	1861.117
000001	1861.113
000001	1861.119
000001	1861.116
000001	1863.202
000001	1863.201
000001	1863.205
000001	1863.206
000001	1863.209
000001	1863.208
000001	1863.203
000001	1863.204
000001	1863.207
000001	1861.102
000001	1861.101
000001	1861.105
000001	1861.106
000001	1861.109
000001	1861.108
000001	1861.103
000001	1861.104
000001	1861.107
000001	1861.000
000001	5173.002
000001	5173.001
000001	5173.000
000001	5111.172
000001	5111.173
000001	5101.019
000001	5101.015
000001	5101.011
000001	5119.017
000001	5113.058
000001	5113.057
000001	5113.050
000001	5113.056
000001	5111.140
000001	5111.147
000001	5111.145
000001	5111.141
000001	5111.149
000001	5111.143
000001	5111.142
000001	5111.148
000001	5113.099
000001	5113.098
000001	5113.090
000001	5113.092
000001	5113.091
000001	5113.095
000001	5205.022
000001	1645.008
000001	5105.028
000001	5305.057
000001	3515.000
000001	3519.020
000001	3745.001
000001	3519.019
000001	3519.018
000001	3519.017
000001	1893.009
000001	5103.130
000001	5103.241
000001	5103.240
000001	5103.239
000001	5101.238
000001	3695.000
000001	3514.033
000001	4029.053
000001	1505.118
000001	1569.032
000001	1569.031
000001	2191.033
000001	2193.010
000001	2193.015
000001	2193.014
000001	2193.013
000001	2193.012
000001	2193.011
000001	2193.016
000001	2193.000
000001	2193.008
000001	2193.005
000001	2193.003
000001	2193.002
000001	2193.001
000001	2193.009
000001	2191.032
000001	2173.026
000001	2173.028
000001	2173.021
000001	2173.020
000001	2173.025
000001	2173.011
000001	2173.010
000001	2173.014
000001	2173.016
000001	2173.019
000001	2173.018
000001	2173.012
000001	2173.013
000001	2173.017
000001	2171.027
000001	2171.028
000001	2171.025
000001	2171.024
000001	2171.026
000001	2193.004
000001	2151.028
000001	2151.024
000001	2151.023
000001	2153.017
000001	2153.015
000001	2153.011
000001	2153.013
000001	2153.012
000001	2153.014
000001	2153.018
000001	2153.010
000001	2153.008
