ordernumber;mainnumber;categoryId
1863.233;1863.233;102
1863.229;1863.229;102
1863.228;1863.228;102
1863.227;1863.227;102
1863.232;1863.232;102
1863.231;1863.231;102
1863.230;1863.230;102
1863.220;1863.220;102
1861.126;1861.126;102
1861.131;1861.131;102
1861.132;1861.132;102
1861.125;1861.125;102
1861.128;1861.128;102
1861.127;1861.127;102
1861.133;1861.133;102
1861.121;1861.121;102
1861.122;1861.122;102
1861.123;1861.123;102
1861.130;1861.130;102
1861.129;1861.129;102
1861.120;1861.120;102
1861.124;1861.124;102
1863.213;1863.213;102
1863.219;1863.219;102
1863.212;1863.212;102
1863.214;1863.214;102
1863.218;1863.218;102
1863.215;1863.215;102
1863.210;1863.210;102
1863.217;1863.217;102
1863.216;1863.216;102
1863.211;1863.211;102
1861.117;1861.117;102
1861.118;1861.118;102
1861.116;1861.116;102
1861.115;1861.115;102
1861.119;1861.119;102
1861.112;1861.112;102
1861.113;1861.113;102
1861.110;1861.110;102
1861.111;1861.111;102
1861.114;1861.114;102
1863.207;1863.207;102
1863.201;1863.201;102
1863.208;1863.208;102
1863.206;1863.206;102
1863.204;1863.204;102
1863.205;1863.205;102
1863.202;1863.202;102
1863.203;1863.203;102
1863.209;1863.209;102
1861.104;1861.104;102
1861.109;1861.109;102
1861.103;1861.103;102
1861.105;1861.105;102
1861.106;1861.106;102
1861.101;1861.101;102
1861.108;1861.108;102
1861.102;1861.102;102
1861.000;1861.000;102
1591.151;1591.151;102
1664.004;1664.004;103
1663.001;1663.001;150
1663.004;1663.004;150
1663.225;1663.225;150
1663.208;1663.208;150
1663.209;1663.209;150
1663.206;1663.206;150
1663.207;1663.207;150
1663.211;1663.211;150
1663.213;1663.213;150
1663.212;1663.212;150
1663.210;1663.210;150
1663.203;1663.203;150
1663.205;1663.205;150
1663.217;1663.217;150
1663.218;1663.218;150
1663.216;1663.216;150
1663.219;1663.219;150
1663.224;1663.224;150
1663.204;1663.204;150
1663.220;1663.220;150
1663.221;1663.221;150
1663.214;1663.214;150
1661.125;1661.125;150
1661.106;1661.106;150
1661.105;1661.105;150
1661.108;1661.108;150
1661.107;1661.107;150
1661.104;1661.104;150
1661.124;1661.124;150
1661.120;1661.120;150
1661.103;1661.103;150
1661.121;1661.121;150
1661.109;1661.109;150
1661.116;1661.116;150
1661.115;1661.115;150
1661.118;1661.118;150
1661.117;1661.117;150
1661.114;1661.114;150
1661.111;1661.111;150
1661.110;1661.110;150
1661.113;1661.113;150
1661.112;1661.112;150
1661.119;1661.119;150
1664.004;1664.004;150
1661.001;1661.001;150
1681.104;1681.104;152
1683.031;1683.031;152
1681.097;1681.097;152
1684.012;1684.012;152
1681.099;1681.099;152
1683.019;1683.019;152
1681.114;1681.114;152
1683.016;1683.016;152
1681.002;1681.002;152
1683.018;1683.018;152
1681.095;1681.095;152
1683.020;1683.020;152
1682.014;1682.014;152
2338.000;2338.000;104
2013.012;2013.012;104
2011.105;2011.105;104
2225.009;2225.009;104
2338.000;2338.000;153
2335.003;2335.003;153
2015.085;2015.085;157
2113.003;2113.003;157
2111.052;2111.052;157
2011.061;2011.061;157
2011.060;2011.060;157
2011.058;2011.058;157
2011.051;2011.051;157
2011.057;2011.057;157
2013.012;2013.012;157
2011.056;2011.056;157
2011.105;2011.105;157
2169.032;2169.032;157
2193.000;2193.000;157
2111.052;2111.052;161
2225.008;2225.008;158
2225.009;2225.009;158
2229.003;2229.003;158
2221.011;2221.011;158
2229.010;2229.010;158
2225.008;2225.008;
125.943;125.943;159
4191.099;4191.099;105
4095.021;4095.021;105
4025.053;4025.053;105
